datum,2014-01-01,2014-01-02,2014-01-03,2014-01-04,2014-01-05,2014-01-06,2014-01-07,2014-01-08,2014-01-09,2014-01-10,2014-01-11,2014-01-12,2014-01-13,2014-01-14,2014-01-15,2014-01-16,2014-01-17,2014-01-18,2014-01-19,2014-01-20,2014-01-21,2014-01-22,2014-01-23,2014-01-24,2014-01-25,2014-01-26,2014-01-27,2014-01-28,2014-01-29,2014-01-30,2014-01-31,2014-02-01,2014-02-02,2014-02-03,2014-02-04,2014-02-05,2014-02-06,2014-02-07,2014-02-08,2014-02-09,2014-02-10,2014-02-11,2014-02-12,2014-02-13,2014-02-14,2014-02-15,2014-02-16,2014-02-17,2014-02-18,2014-02-19,2014-02-20,2014-02-21,2014-02-22,2014-02-23,2014-02-24,2014-02-25,2014-02-26,2014-02-27,2014-02-28,2014-03-01,2014-03-02,2014-03-03,2014-03-04,2014-03-05,2014-03-06,2014-03-07,2014-03-08,2014-03-09,2014-03-10,2014-03-11,2014-03-12,2014-03-13,2014-03-14,2014-03-15,2014-03-16,2014-03-17,2014-03-18,2014-03-19,2014-03-20,2014-03-21,2014-03-22,2014-03-23,2014-03-24,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-29,2014-03-30,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-05,2014-04-06,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-12,2014-04-13,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-18,2014-04-19,2014-04-20,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-26,2014-04-27,2014-04-28,2014-04-29,2014-04-30,2014-05-01,2014-05-02,2014-05-03,2014-05-04,2014-05-05,2014-05-06,2014-05-07,2014-05-08,2014-05-09,2014-05-10,2014-05-11,2014-05-12,2014-05-13,2014-05-14,2014-05-15,2014-05-16,2014-05-17,2014-05-18,2014-05-19,2014-05-20,2014-05-21,2014-05-22,2014-05-23,2014-05-24,2014-05-25,2014-05-26,2014-05-27,2014-05-28,2014-05-29,2014-05-30,2014-05-31,2014-06-01,2014-06-02,2014-06-03,2014-06-04,2014-06-05,2014-06-06,2014-06-07,2014-06-08,2014-06-09,2014-06-10,2014-06-11,2014-06-12,2014-06-13,2014-06-14,2014-06-15,2014-06-16,2014-06-17,2014-06-18,2014-06-19,2014-06-20,2014-06-21,2014-06-22,2014-06-23,2014-06-24,2014-06-25,2014-06-26,2014-06-27,2014-06-28,2014-06-29,2014-06-30,2014-07-01,2014-07-02,2014-07-03,2014-07-04,2014-07-05,2014-07-06,2014-07-07,2014-07-08,2014-07-09,2014-07-10,2014-07-11,2014-07-12,2014-07-13,2014-07-14,2014-07-15,2014-07-16,2014-07-17,2014-07-18,2014-07-19,2014-07-20,2014-07-21,2014-07-22,2014-07-23,2014-07-24,2014-07-25,2014-07-26,2014-07-27,2014-07-28,2014-07-29,2014-07-30,2014-07-31,2014-08-01,2014-08-02,2014-08-03,2014-08-04,2014-08-05,2014-08-06,2014-08-07,2014-08-08,2014-08-09,2014-08-10,2014-08-11,2014-08-12,2014-08-13,2014-08-14,2014-08-15,2014-08-16,2014-08-17,2014-08-18,2014-08-19,2014-08-20,2014-08-21,2014-08-22,2014-08-23,2014-08-24,2014-08-25,2014-08-26,2014-08-27,2014-08-28,2014-08-29,2014-08-30,2014-08-31,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12
b02501,704,1055,1023,953,725,645,654,626,705,774,739,617,660,609,625,682,852,791,752,721,594,628,715,747,583,489,538,524,644,673,800,748,628,709,741,804,746,937,859,552,573,542,591,723,845,842,583,601,763,719,783,883,567,895,682,726,682,813,793,766,641,685,557,617,720,884,940,1073,798,747,776,811,962,676,580,716,672,696,804,998,830,630,786,755,811,853,983,997,1083,787,785,686,790,853,799,666,700,667,602,663,910,865,609,809,685,674,873,961,746,627,969,751,713,703,818,737,1030,692,666,879,1114,923,662,871,812,802,725,851,957,915,634,682,583,570,693,627,608,780,791,941,945,1011,1111,1194,1490,779,678,1056,990,1251,1247,1981,815,777,927,933,1530,1980,2155,2423,1194,939,888,1200,1353,1560,951,931,1223,1818,1298,1524,2495,1004,800,787,1122,1421,1658,1427,863,906,894,1185,1528,1452,2304,1090,852,829,1007,1567,1330,1465,913,1055,1209,1288,1761,2473,2157,1099,934,1047,1368,1418,1788,1638,1047,1057,950,1055,1468,2340,1891,1177,897,1145,1512,1936,2285,2331,1122,942,993,1204,1636,1644,2500,1621,1093,1018,1077,1400,1389,1471,1170,861,832,1239,1778,1115,1099,701,716,773,950,1099,1196,1568,1048,168,356,837,1003
b06404,3818,8963,9243,7600,5052,5096,10780,10584,10718,11793,7912,5855,10963,10625,10721,11148,11782,8389,5646,10962,10848,10933,10957,10725,7537,4749,10384,10232,10540,10070,10822,6116,3734,9727,10752,10910,10766,11844,8079,5171,11087,10863,11008,11508,12168,8448,5328,9879,10494,10589,10731,11211,7750,5996,11238,11396,11194,11521,12176,8671,6000,11342,10140,11120,11446,12186,8610,6319,11484,11145,11099,11221,12678,8955,6087,11165,11228,11484,11578,12129,8671,5562,11536,11037,11145,11205,12008,8144,6055,11853,11251,11559,11789,12201,9172,6186,11737,11537,11861,11753,12588,9570,6917,11457,11536,11418,11617,11087,6189,5324,5840,11341,11617,11800,12473,8221,6606,11509,11465,12849,6219,10521,7965,6558,11833,11776,11782,11706,12998,9013,6120,11693,11592,11516,11255,12109,9078,6180,11389,11455,11537,11440,11866,8622,6203,11496,11393,12913,5618,10431,7880,6099,11451,11490,11812,11673,12306,8293,6203,6358,11373,11276,11338,12291,8832,6506,11240,11494,12466,6534,9893,7614,6493,11147,11390,11313,11325,11899,8243,6516,11733,11671,11588,11715,11978,8235,6437,10793,11024,11381,11369,11396,7567,5293,10561,10788,10640,10623,10775,7761,6173,10614,10788,11498,11604,12081,8468,5598,11236,10843,11034,10940,11497,8294,6933,10528,10771,10766,10822,11157,8186,6727,10313,11138,11045,11639,5920,8272,7404,10836,10741,11038,11392,11473,8236,6712,11056,11111,11229,11442,11552,8979,6042,11470,11218,11319,11185,11668,8445,6610,11552,11379,11536,11431,12301
b06603,2542,6297,6023,4916,3463,3952,7326,6912,6933,7690,5343,4370,7015,6597,6908,7019,7632,5216,3888,7050,6799,7159,7063,6631,4983,3642,6809,6393,6610,5956,6964,4139,2610,6232,6704,6827,6921,7793,3327,3864,6782,6527,6696,7199,7793,5126,3930,6179,6349,6219,6492,6857,5129,4346,7232,7204,6893,7229,7961,5614,4780,7434,6152,7114,7169,8178,5608,4936,7359,7188,7379,7514,8464,5801,5073,7507,7653,7345,7783,8472,6283,5127,7593,7316,7424,7791,8274,6093,5576,8197,7588,7819,8001,8749,6130,5043,8146,7596,8079,7842,9016,6494,4808,7751,7682,7707,8001,7896,5376,4377,5011,8222,7733,7680,8746,6033,5336,8308,7855,9051,5226,8299,5928,5628,7796,7730,7614,8081,8972,6663,5149,7543,7722,7660,7639,8509,6672,5487,7457,7467,7479,7639,8509,6672,5487,7793,7627,9174,4992,7700,6287,5329,7605,7428,7687,8003,8661,6717,4711,5107,8292,7633,7231,8226,6177,6327,7599,7562,8798,5267,7367,5744,4960,7137,7450,7593,7658,8741,6299,4852,7809,7709,7743,7736,8050,6426,6022,7373,7088,7208,7522,7954,6442,4898,7207,7382,7433,7452,7769,6192,5068,7261,7373,7773,7618,7904,6434,4697,7476,7281,6957,7635,8047,6394,5269,7481,7352,7807,7844,7861,6057,5271,7375,7663,7777,8330,5172,7112,5761,7761,7849,8133,8339,8525,6629,5528,7971,7837,7903,7996,8525,7031,5528,8069,7910,7811,7892,8643,6414,4950,7581,7452,7524,7645,8334
b06701,8261,18231,19049,15568,11292,12109,21668,20705,20994,22649,16234,12324,21111,20814,20883,21491,23292,17520,12432,20881,20741,20692,21141,21325,15610,11081,20404,20148,20161,19659,21754,14953,10121,20760,21363,21370,22014,23941,16952,12194,21791,21322,21459,22609,24725,17529,12518,19644,20046,19887,20535,21806,15502,13024,21935,21594,21416,22247,24778,18107,13072,22180,20649,22098,22969,25179,19416,14747,22918,22161,22611,22918,24776,18341,14278,23441,23073,23555,23284,24903,18954,13572,23062,22376,23023,23154,24988,19078,15031,26324,23444,23279,23963,25724,19089,14722,22947,22951,23953,23894,25996,18381,14125,22772,22990,23463,23868,23362,14551,11270,12557,23642,23217,23236,24658,18508,14004,23714,22867,25355,13232,23597,17067,14695,24348,23662,23447,23624,25934,19334,14139,23764,23909,23379,23352,25257,18562,14447,24145,23761,23518,24357,26042,18945,15567,23577,23313,25809,13899,22803,17427,14478,24029,23489,23905,24751,26634,18539,14922,15511,24939,24314,22483,25001,18609,14834,23430,23330,25401,14323,21463,16962,14548,23245,22857,23326,24305,26270,18743,14847,24055,24175,23974,25369,27143,17999,16257,23841,22452,22653,22430,24448,17799,13369,22066,22565,22732,22375,23966,18124,15607,22277,21749,22244,23196,23576,16865,12812,21939,21609,21547,22718,24443,18731,14298,22550,21966,22357,22440,24015,16891,14577,21848,22200,22539,24637,13545,18270,14360,23178,21756,22495,22879,23944,18636,14614,22414,22268,22558,23311,24554,18199,13419,22085,23008,23583,23539,25237,18716,15228,23344,21453,23201,23703,25407
b06706,3880,9148,9385,6938,5263,5987,10958,10537,10689,11131,7410,5613,10911,10776,10497,10816,11456,7858,5764,10731,10826,10736,10720,10565,7011,4962,10401,9732,9757,9029,10377,5607,4245,10020,10238,10172,10407,11747,7551,5419,11072,10698,10810,10833,12105,7952,5630,9987,10574,10505,10603,11451,7285,6235,11287,11011,11049,11356,12496,9162,6898,11643,11364,11144,11687,12921,10269,7186,11707,11356,11614,11659,12752,8279,6747,11991,11669,11971,11985,12607,8591,6245,12137,11210,11580,11710,12687,8666,7336,12726,12279,12339,12315,12992,8775,7088,10920,11840,12339,12413,13326,8423,6774,12036,11980,12189,12297,11738,6633,5275,6345,11829,11917,12002,13010,8752,6613,12228,11841,13274,6730,11918,7959,7232,12210,12087,12185,13341,13116,8943,6557,12348,12099,12087,12053,13162,8626,6765,12368,12282,12446,12532,13209,9227,7535,12045,12310,13519,6799,11513,8071,6925,12297,12108,12447,12922,14255,9094,8129,9239,14063,13293,11960,13391,8825,6972,12288,11926,13357,7392,11053,8118,7623,12419,11619,11896,12651,13824,8486,7256,12686,12417,12584,13788,15176,9349,9160,13495,11986,12268,12203,12734,8881,6831,11839,11963,12527,12086,13141,9990,9155,12006,11868,12267,12879,12664,8140,6219,12137,12296,12206,12206,13599,10839,7659,11915,11489,12169,11712,12577,8520,8077,11773,11685,11950,12606,6983,9303,7482,12522,11778,12090,12114,12553,9224,7245,11911,11931,12060,12046,13662,8554,6418,12532,11936,12513,12082,13000,8899,7560,12813,10362,12256,12464,13344
b07004,7285,15699,16615,12999,8736,9157,18314,17633,17930,19575,13308,9260,18158,17893,17927,18434,19791,13998,9557,18212,17970,17993,18571,17489,12676,8435,17640,17007,16702,16705,17152,10196,6489,16304,17590,16447,18185,19686,13579,8880,18160,18033,17733,19115,20334,13916,8861,15431,16959,17137,17511,18275,12909,10121,18500,18321,18267,18909,20177,14082,9240,19048,16463,18499,19387,20619,14703,11188,19056,19026,19178,19142,20457,14760,10282,19314,19229,19908,19420,20794,15303,9663,18633,18781,18770,19158,20467,15651,11261,20213,19486,19455,19993,21121,15630,10776,19670,19434,19478,20352,21672,15442,10462,19202,19600,19796,19724,18836,12598,9706,10737,19802,19612,19952,21469,15033,10895,19804,19566,21989,11355,19276,14758,11609,19958,19970,19561,20282,21792,17050,11133,19738,19344,19001,19237,20415,14924,10844,19443,19430,19576,19854,21071,15614,11760,19678,19488,21034,10371,18298,14543,11172,19858,19521,20410,20348,21815,15420,12148,11939,19738,19456,18860,20634,15648,11227,19574,19751,21353,11269,18003,14909,12375,18989,18597,18485,19654,20830,15708,11293,19291,19812,19548,20532,21259,15143,12908,19036,18131,18946,18889,20011,14695,10558,18052,17657,18562,18727,19539,15265,12392,17849,18087,18544,18799,19569,13666,9927,17221,17945,18103,18336,20097,14190,11615,17518,17736,18407,18543,19443,14980,12391,17774,18330,18397,20240,11675,14951,13117,18660,18494,18691,19035,19152,14960,11329,18745,18930,18924,19235,20079,14629,9947,18892,18872,18997,19473,20719,14968,11694,19127,19201,19058,19383,20020
b07202,3125,7766,8177,6224,3833,4055,9908,9926,9926,10826,6694,2713,9995,9797,9976,9984,10752,6887,4719,9975,9829,9969,9885,9883,6492,3951,9675,9586,9755,9147,9843,5102,3022,9031,9712,9934,10192,10750,6736,4348,10057,10040,10039,7761,11300,6925,4475,9210,9742,9621,9946,10247,6550,4744,10480,10306,10254,10393,11394,7417,4933,10677,8885,10224,10497,11241,7628,3252,10600,10324,10324,10595,11489,7828,5352,10726,10782,10824,10811,11348,8106,4642,11774,10765,10591,10677,11471,7841,5688,11617,10708,10981,11004,11699,7830,5236,11051,10948,11127,11405,12436,8264,6277,11252,11308,11304,11074,10966,6372,4839,5358,11422,10959,11343,11844,7946,5768,11010,10900,12454,5665,10659,7602,5644,11387,11308,11148,8073,12255,8918,5646,11278,11333,11201,10895,11812,8280,6245,11222,11127,11392,11272,11409,9093,3303,11085,8898,12425,5455,10389,4989,5239,11097,9987,11246,10876,12339,8876,4445,4170,11258,11077,10986,11840,8192,3468,10735,10992,12161,5812,9994,7575,5616,10856,10886,11145,11347,11600,7820,3017,11427,11079,11030,11169,9960,7755,4371,10711,10515,10807,10962,11272,7576,4153,10460,10568,10455,10594,10955,7522,4308,10241,10241,10895,10751,10983,4957,3801,10181,10375,10507,10445,10729,7694,3241,10033,7886,10652,11085,14034,10570,3241,9991,10477,10372,10951,3633,4776,3514,10481,10336,10546,11047,11087,7320,3392,10690,10383,10891,10971,11354,5991,5452,11338,10951,10808,10955,11608,7836,5830,11017,10917,10970,10899,11817
b07307,2992,7001,7282,5582,3562,3736,9207,8980,9115,9658,6232,4216,9054,8784,9194,9280,9787,6615,4577,9109,9008,9056,9119,8633,6100,3833,8965,8340,8534,8207,8860,5173,2766,8095,8748,9151,8692,9860,6455,3982,9271,9036,8806,9676,10018,6574,3912,7787,8190,8230,8437,8635,5822,4192,9270,9252,9174,9378,10037,7023,4352,9284,8620,9294,9460,10008,6647,4764,9383,9270,9353,9506,9932,6780,4574,9599,9470,9259,9538,10006,7134,4297,9624,9114,9379,9687,9957,6863,5049,9617,9492,9655,9796,10343,7261,4439,9299,9387,9600,9784,10380,7007,4401,9147,9329,9536,9416,9643,6135,4108,4263,9517,9526,9809,10302,6500,4456,9534,8503,10352,4454,8389,6473,5063,9888,9583,9754,10021,10500,7500,5290,9618,9531,9614,9581,9964,6490,4630,9592,9648,9515,9866,10188,6731,4912,9665,9608,10224,4364,7953,6210,4266,9546,9610,9692,9886,10324,6579,4090,4050,9521,9393,9667,9678,6653,4516,9486,9392,10266,4248,7920,6119,4319,9212,9346,9330,9368,9934,6857,4517,9607,9488,9625,9932,10239,6660,4472,9173,8941,9319,9250,9707,6420,4246,8949,9026,9094,9260,9370,6049,4238,8872,8712,9017,9064,9128,6125,4066,8842,8844,8788,8961,9167,6266,4529,8436,8315,8496,8536,8686,6056,4450,8289,8194,8391,8883,4157,6047,4624,8886,8832,8915,9276,9262,6266,4292,8996,8869,9086,9398,9470,6317,4181,9288,9092,9228,9349,9388,6379,4388,9581,9373,9657,9626,10018
b09201,984,1383,1575,1251,990,971,1374,1252,1323,1494,1273,1005,1324,1341,1246,1360,1552,1363,966,1305,1277,1335,1367,1387,1185,993,1333,1221,1281,1282,1369,1212,814,1273,1406,1317,1424,1619,1260,743,1341,1186,1383,1352,1600,1417,1013,1040,1284,1268,1114,1539,1183,1104,1404,1408,1433,1418,1676,1408,982,1399,1203,1308,1324,1583,1398,1294,1399,1361,1430,1358,1737,1378,1167,1416,1407,1371,1493,1664,1464,966,1305,1347,1306,1397,1632,1526,1362,1527,1388,1398,1480,1728,1589,1273,1463,1478,1222,1556,1720,1640,1120,1561,1484,1553,1762,1871,1469,1012,1384,1492,1633,1630,1716,1536,1158,1145,1481,1702,1425,1866,1561,1542,1576,1476,1362,1561,1667,1680,1122,1185,1343,1421,1364,1696,1565,1284,1580,1676,1571,1745,1926,1906,1445,1487,1466,1817,1474,1914,2004,1923,1613,1508,1520,1508,2076,2096,1796,1727,1815,1464,1616,1847,2248,1620,1563,1520,1877,1615,2014,2058,1640,1525,1286,1198,1605,1894,1864,1489,1540,1685,1622,1738,2043,1896,2065,1731,1572,1556,1570,1912,1890,1551,1656,1731,1767,1782,2132,2352,1914,1791,1598,1711,1946,1933,2037,1526,1771,1703,1711,1813,2156,2073,1841,1766,1725,1833,1957,2366,2161,1820,1864,1649,1631,2074,1607,1935,1958,2053,1819,1742,1795,2138,1857,1617,1713,1599,1764,1760,1993,1529,1231,1421,1352,1555,1645,1739,1670,1463,1709,1573,1565,1485,1728
b11401,1398,2053,1972,1727,1295,1367,1683,1678,1778,1913,1664,1477,1927,1578,1671,1810,1897,1533,1403,1686,1564,1786,1847,1481,1085,880,1436,1312,1522,1520,1646,1261,1029,1471,1562,1704,1799,2007,1567,812,1572,1424,1666,1905,1932,1969,1462,1123,1578,1619,1678,2063,1574,1780,1842,1862,1946,2074,2196,1859,1383,1821,1489,1845,1922,2243,1956,1790,1994,1868,1888,2166,2403,1792,1454,1899,1936,1952,2171,2407,1807,1111,1484,1626,1770,1946,2161,1903,1823,2109,1857,1927,2007,2372,1693,1578,2162,1807,1944,2089,2472,2065,1678,2065,1514,1830,2370,2521,1943,1508,2135,2198,2131,2142,2387,1903,1876,2117,2004,2631,2086,2114,1804,2282,2313,2177,1972,2316,2537,2273,1901,2038,1875,1972,2032,2122,1771,2081,2280,2262,2550,2626,2983,2700,2786,2310,1870,3217,2855,2773,2736,3227,2361,2010,2308,2423,3618,3540,2914,3227,2760,2108,2150,2774,2785,2571,2548,2290,3390,3766,3246,3967,6182,2566,2122,2262,2654,3059,3080,2908,2449,2373,2317,2794,3253,3271,3598,2702,2202,2173,2537,3054,3415,3084,2434,2448,2648,2828,3301,4256,3262,2662,2197,2717,3165,3355,3933,3309,2761,2482,2761,3025,3872,4974,4598,2929,2628,2914,3254,3932,4305,3800,2733,2399,2667,3476,3083,3572,4443,3101,2483,2496,2729,3153,3288,2978,2769,2413,2651,2980,3415,3288,2931,2304,2112,2567,2781,3249,2945,3146,2471,2326,2308,2356,2782
